project_id,project_name,team_size,project_duration_days,budget_k,complexity,risk_level,customer_satisfaction,on_time
120,Smart System,12,306,480.56,5,Medium,70.6,True
121,Adaptive System,11,315,354.55,2,Low,91.43,False
122,Efficient Insight,14,126,267.13,5,Medium,90.65,True
123,Dynamic Platform,9,313,271.86,2,Low,97.05,False
124,Smart Optimizer,11,346,87.48,5,Medium,81.72,False
125,Innovative Analytics,10,333,91.27,3,Low,78.7,False
126,Integrated Analytics,14,176,321.1,3,Low,83.17,True
127,Innovative Dashboard,4,33,299.17,3,Low,81.71,True
128,Strategic Management,3,64,145.73,3,Low,80.3,True
129,Smart Insight,9,221,475.79,1,Low,80.98,False
130,Dynamic Management,9,78,401.58,3,Low,80.71,True
131,Agile System,10,46,101.06,4,Medium,70.27,True
132,Adaptive Analytics,7,201,468.92,4,Medium,84.52,True
133,Adaptive Workflow,5,249,488.41,1,Low,74.45,False
134,Smart Workflow,14,187,498.17,3,Low,77.71,False
135,Adaptive Optimizer,10,75,75.14,3,Low,69.17,True
136,Smart System,8,35,381.67,3,Low,99.15,True
137,Dynamic Workflow,13,128,295.66,5,Medium,67.03,False
138,Dynamic Analytics,5,262,367.62,2,Low,91.61,False
139,Collaborative Optimizer,3,66,485.89,5,Medium,79.75,False
140,Agile Pipeline,5,309,359.61,2,Low,98.19,True
141,Agile Analytics,7,331,426.63,3,Low,82.9,False
142,Collaborative Insight,5,210,440.09,3,Low,75.52,True
143,Integrated Optimizer,3,124,427.32,5,Medium,59.44,False
144,Strategic Analytics,7,128,241.74,5,Medium,47.15,False
145,Integrated Platform,12,217,150.16,2,Low,86.61,True
146,Strategic Platform,9,145,228.49,4,Medium,82.75,True
147,Collaborative Platform,9,220,451.35,2,Low,89.72,True
148,Dynamic Management,13,282,115.97,5,Medium,59.7,False
149,Innovative Solution,11,190,281.0,5,Medium,85.39,False
150,Dynamic Solution,12,285,154.95,1,Low,78.02,False
151,Collaborative Analytics,12,352,311.59,5,Medium,65.93,False
152,Collaborative Platform,14,157,438.41,1,Low,77.79,True
153,Adaptive Solution,5,47,446.16,4,Medium,75.78,True
154,Collaborative Optimizer,9,310,156.51,2,Low,70.15,False
155,Robust Workflow,3,252,458.46,2,Low,84.63,True
156,Dynamic Pipeline,6,83,316.35,1,Low,89.29,True
157,Dynamic Workflow,6,87,207.6,2,Low,96.07,False
158,Adaptive System,7,352,368.68,5,Medium,76.76,True
159,Efficient Insight,9,203,266.75,3,Low,71.6,True
160,Robust Platform,9,309,220.09,1,Low,86.49,True
161,Agile Insight,13,143,367.29,2,Low,74.4,False
162,Collaborative Solution,6,317,161.93,1,Low,73.82,True
163,Innovative Platform,9,180,198.61,1,Low,71.37,True
164,Integrated Dashboard,13,156,245.5,3,Low,65.89,True
165,Integrated Workflow,5,184,164.16,5,Medium,69.33,True
166,Strategic Pipeline,8,302,232.34,1,Low,96.29,True
167,Innovative Dashboard,14,133,307.16,2,Low,100.0,True
168,Robust Workflow,4,328,383.44,4,Medium,69.26,False
169,Strategic Insight,12,275,395.24,1,Low,95.86,True
170,Integrated Workflow,11,205,420.26,1,Low,81.05,True
171,Collaborative Optimizer,7,68,384.9,3,Low,68.49,True
172,Agile Optimizer,8,199,356.47,5,Medium,82.01,True
173,Efficient Platform,14,276,156.88,4,Low,87.35,True
174,Strategic Workflow,14,55,230.1,2,Low,100.0,True
175,Innovative Platform,14,335,264.97,4,Low,69.65,True
176,Integrated System,14,42,87.3,2,Low,100.0,True
177,Efficient Workflow,6,345,287.77,5,Medium,90.92,True
178,Collaborative Dashboard,13,342,246.35,2,Low,84.82,False
179,Robust Dashboard,12,65,410.95,3,Low,82.01,True
180,Efficient Optimizer,9,202,490.06,3,Low,77.84,True
181,Smart Workflow,14,49,300.2,3,Low,86.1,True
182,Agile Platform,11,350,195.21,3,Low,83.16,False
183,Adaptive Workflow,9,293,69.53,4,Medium,80.14,True
184,Agile Analytics,3,171,466.09,5,Medium,72.06,True
185,Robust System,3,172,463.6,2,Low,99.15,True
186,Efficient System,11,121,163.85,2,Low,86.25,True
187,Smart Optimizer,13,351,362.94,3,Low,82.43,False
188,Adaptive Optimizer,11,317,83.95,3,Low,95.24,False
189,Agile Platform,6,244,124.8,1,Low,68.77,True
190,Innovative System,11,80,147.56,5,Medium,78.41,False
191,Integrated Analytics,5,182,182.52,4,Medium,75.26,False
192,Robust Solution,9,215,498.12,2,Low,70.89,False
193,Integrated System,8,92,363.62,1,Low,67.91,True
194,Adaptive System,10,219,222.89,1,Low,95.1,False
195,Agile Workflow,13,154,381.7,2,Low,94.63,False
196,Robust Analytics,11,179,461.86,4,Low,86.73,False
197,Robust Dashboard,7,343,481.42,1,Low,100.0,True
198,Dynamic Platform,3,87,76.04,1,Low,89.41,True
199,Robust Optimizer,5,334,227.53,5,Medium,87.5,False
200,Adaptive Solution,12,209,98.04,4,Low,89.2,True
